country,cases,deaths,recovered,recovery_rate
Afghanistan,234174,7996,211080,90.13810243664967
Albania,334863,3605,330233,98.61734500377767
Algeria,272010,6881,183061,67.2993639939708
Andorra,48015,165,0,0.0
Angola,107327,1937,103419,96.358791357254
Anguilla,3904,12,0,0.0
Antigua and Barbuda,9106,146,8954,98.33077092027234
Argentina,10128845,130841,9997258,98.70086865777886
Armenia,451831,8777,435162,96.31078876836693
Aruba,44224,292,42438,95.96146888567294
Australia,11853144,24414,11820014,99.72049609791293
Austria,6081287,22542,6054934,99.56665422960633
Azerbaijan,835234,10400,824089,98.66564340053206
Bahamas,38084,844,36366,95.4889192311732
Bahrain,729549,1574,727915,99.7760260105901
Bangladesh,2049377,29493,0,0.0
Barbados,110578,648,108647,98.25372135506159
Belarus,994037,7118,985592,99.1504340381696
Belgium,4861695,34376,4826798,99.28220507456761
Belize,71409,688,0,0.0
Benin,28036,163,27847,99.3258667427593
Bermuda,18860,165,18685,99.07211028632025
Bhutan,62697,21,61564,98.19289599183374
Bolivia,1212131,22407,1177145,97.11367830704766
Bosnia,403615,16388,379084,93.92217831349183
Botswana,330638,2801,327049,98.91452283161645
Brazil,38743918,711380,36249161,93.56090677251588
British Virgin Islands,7392,64,0,0.0
Brunei,343719,225,243601,70.87213683270346
Bulgaria,1339851,38748,1292944,96.49908833146372
Burkina Faso,22114,400,21596,97.65759247535499
Burundi,54721,38,53569,97.8947753147786
Cabo Verde,64477,417,63755,98.88022085394792
Cambodia,139103,3056,136044,97.80091011696369
Cameroon,125379,1974,123280,98.32587594413738
Canada,4946090,59034,4881312,98.69031901967008
Caribbean Netherlands,11682,38,10476,89.6764252696456
Cayman Islands,31472,37,8553,27.17653787493645
Central African Republic,15440,113,15200,98.44559585492227
Chad,7701,194,4874,63.290481755616156
Channel Islands,101717,228,101321,99.61068454633936
Chile,5384853,64497,5252450,97.54119564638069
China,503302,5272,379053,75.31323141970428
Colombia,6400173,143200,6212152,97.06225128601993
Comoros,9109,161,8939,98.13371390932045
Congo,25375,386,24006,94.60492610837439
Cook Islands,7203,2,7150,99.264195474108
Costa Rica,1238883,9428,0,0.0
